,avg_loss,accuracy,diff_accuracy,diff_F1,diff_auc,diff_ap
0,1.119970238727072,0.8111111111111111,0.8111111111111111,0.028571428571428574,0.4933333333333333,0.16555555555555554
1,0.886259244835895,0.8236111111111111,0.8236111111111111,0.08633093525179857,0.5141666666666667,0.17412280701754385
2,0.3475765145343283,0.9055555555555556,0.9055555555555556,0.6046511627906976,0.7166666666666667,0.5277777777777778
3,0.21466875076293945,0.9430555555555555,0.9430555555555555,0.7939698492462312,0.8291666666666666,0.7152777777777778
4,0.15811273326044498,0.9583333333333334,0.9583333333333334,0.8571428571428571,0.875,0.7916666666666666
5,0.1285755841628365,0.9777777777777777,0.9777777777777777,0.9285714285714286,0.9333333333333333,0.888888888888889
6,0.11615026515463124,0.9777777777777777,0.9777777777777777,0.9285714285714286,0.9333333333333333,0.888888888888889
7,0.10920707039211107,0.9777777777777777,0.9777777777777777,0.9285714285714286,0.9333333333333333,0.888888888888889
8,0.10269766268522842,0.9791666666666666,0.9791666666666666,0.9333333333333333,0.9375,0.8958333333333334
9,0.09686368444691533,0.9805555555555555,0.9805555555555555,0.9380530973451328,0.9416666666666667,0.9027777777777778
10,0.09242637261100438,0.9805555555555555,0.9805555555555555,0.9380530973451328,0.9416666666666667,0.9027777777777778
