,avg_loss,rmse
0,213872.00377982517,462.39944
1,178791.7335223246,422.88586
2,152417.68580203166,390.4503
3,138672.7597448618,372.43033
4,128082.4606661942,357.92688
5,119494.92463973541,345.71945
6,112254.95676824947,335.05966
7,104947.43586109142,323.9083
8,99075.81762343492,314.78052
9,93919.18355776045,306.49612
10,89474.07890385069,299.15628
11,84843.39995275218,291.3046
12,79619.62863217577,282.20132
13,75822.1894637373,275.38757
14,71647.87148594378,267.69913
15,68144.81266241436,260.98853
16,64868.20316560359,254.72108
17,61730.02598629813,248.46124
18,58940.295771320576,242.80174
19,56229.48830616584,237.15317
20,53722.23954642098,231.6966
